PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,PARKDIST,HOSPDIST,WARD,TABSYSTEM,TABMODEL,MAILBALLOT,7AM,EDR,SIGNATURES,REGMILOVAB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSLIB,USPRSSWP,USPRSCP,USPRSCG,USPRSGP,USPRSGR,USPRSSL,USPRSJP,USPRSWI,USPRSTOTAL,USSENIP,USSENR,USSENDFL,USSENGR,USSENMOP,USSENWI,USSENTOTAL,USREPIP,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENIP,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL,MNCA1YES,MNCA1NO,MNCA1EST,MNCA1TOTAL,MNCA2YES,MNCA2NO,MNCA2EST,MNCA2TOTAL,VTDID
AITKIN,0005,Aitkin,Aitkin,1,8,10,10B,01,09,3001,,,,Precinct Tabulator,Model 100,,1082,162,851,135,0,0,986,465,478,14,2,1,1,4,4,0,1,1,971,48,303,575,8,6,1,941,0,434,509,4,947,0,449,477,3,929,0,447,498,1,946,550,414,22,986,477,484,25,986,270010005
AITKIN TWP,0010,Aitkin Twp,Aitkin,1,8,10,10B,01,09,3001,,,,Precinct Tabulator,Model 100,,542,58,441,72,0,0,513,312,190,2,0,0,0,1,0,0,0,3,508,6,205,273,5,2,1,492,0,290,207,4,501,0,294,199,1,494,0,306,196,1,503,355,151,7,513,296,206,11,513,270010010
BALL BLUFF TWP,0015,Ball Bluff Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,189,18,162,12,0,0,174,78,91,0,0,0,0,0,2,0,1,1,173,6,44,110,1,0,0,161,0,71,100,1,172,0,69,95,1,165,0,65,102,0,167,111,61,2,174,79,94,1,174,270010015
BALSAM TWP,0020,Balsam Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Central Count,Model 100,YES,24,0,23,0,0,0,23,11,12,0,0,0,0,0,0,0,0,0,23,0,8,15,0,0,0,23,0,11,11,0,22,0,11,10,0,21,0,10,12,0,22,11,12,0,23,10,13,0,23,270010020
BEAVER TWP,0025,Beaver Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Central Count,Model 100,YES,43,6,43,0,0,0,43,13,29,0,0,0,0,0,0,0,0,0,42,3,6,31,2,0,0,42,0,10,32,1,43,0,8,34,1,43,0,8,35,0,43,16,27,0,43,17,26,0,43,270010025
CLARK TWP,0030,Clark Twp,Aitkin,1,8,10,10B,04,09,3001,,,,Precinct Tabulator,Model 100,,98,15,90,4,0,0,94,35,55,2,1,0,0,0,1,0,0,0,94,3,25,62,1,0,0,91,0,33,60,0,93,0,34,58,0,92,0,35,58,0,93,51,41,2,94,35,58,1,94,270010030
CORNISH TWP,0035,Cornish Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Central Count,Model 100,YES,25,1,24,0,0,0,24,10,12,1,0,0,0,0,0,0,0,1,24,2,7,14,1,0,0,24,0,11,13,0,24,0,10,12,0,22,0,11,11,0,22,13,11,0,24,12,12,0,24,270010035
UNORG 47-24 (DAVIDSON UNORG),0038,Davidson Unorganized,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,,23,4,21,3,0,0,24,9,15,0,0,0,0,0,0,0,0,0,24,0,2,21,0,0,0,23,0,8,15,0,23,0,8,15,0,23,0,9,15,0,24,11,12,1,24,9,14,1,24,270010038
FARM ISLAND TWP,0040,Farm Island Twp,Aitkin,1,8,10,10B,02,09,3001,,,,Precinct Tabulator,Model 100,,791,73,593,148,0,0,741,387,329,8,0,0,0,1,2,0,1,4,732,13,239,450,3,2,0,707,0,369,350,2,721,0,369,337,0,706,0,380,339,0,719,464,274,3,741,404,330,7,741,270010040
FLEMING TWP,0045,Fleming Twp,Aitkin,1,8,10,10B,04,09,3001,,,,Precinct Tabulator,Model 100,,236,16,187,32,0,0,219,115,97,2,1,0,0,2,0,0,0,1,218,10,67,123,2,2,0,204,0,97,110,0,207,0,113,90,0,203,0,104,99,1,204,147,70,2,219,104,108,7,219,270010045
GLEN TWP,0050,Glen Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,,309,37,255,52,0,0,307,155,146,1,0,0,0,0,0,0,0,0,302,2,91,198,1,1,0,293,0,142,147,1,290,0,131,150,0,281,0,151,144,0,295,196,108,3,307,146,157,4,307,270010050
HAUGEN TWP,0055,Haugen Twp,Aitkin,1,8,10,10B,04,09,3001,,,,Precinct Tabulator,Model 100,,122,4,98,11,0,0,109,49,57,1,0,1,0,0,1,0,0,0,109,2,27,71,2,1,0,103,0,49,57,0,106,0,49,56,0,105,0,48,58,0,106,73,36,0,109,44,65,0,109,270010055
HAZELTON TWP,0060,Hazelton Twp,Aitkin,1,8,10,10B,02,09,3001,,,,Precinct Tabulator,Model 100,,555,63,422,112,0,0,534,261,264,1,0,1,0,1,1,0,0,1,530,10,167,331,7,4,0,519,0,232,293,0,525,0,250,258,0,508,0,240,271,0,511,322,209,3,534,273,255,6,534,270010060
HILL CITY,0065,Hill City,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,302,50,248,12,0,0,260,106,145,3,2,1,0,1,2,0,0,0,260,9,62,177,3,1,0,252,0,103,145,2,250,0,110,139,1,250,0,102,143,1,246,125,134,1,260,107,152,1,260,270010065
HILL LAKE TWP,0070,Hill Lake Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,269,38,222,16,0,0,238,102,129,2,0,1,0,4,0,0,0,0,238,6,59,159,1,1,0,226,0,82,147,1,230,0,94,134,0,228,0,91,138,0,229,125,112,1,238,95,142,1,238,270010070
IDUN TWP,0075,Idun Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,,136,12,111,9,0,0,120,59,58,1,0,0,0,0,0,0,1,0,119,5,33,74,5,0,0,117,0,51,67,0,118,0,53,62,1,116,0,50,65,0,115,76,44,0,120,67,51,2,120,270010075
JEVNE TWP,0080,Jevne Twp,Aitkin,1,8,10,10B,04,09,3001,,,,Precinct Tabulator,Model 100,,172,28,142,16,1,0,159,86,70,1,0,0,0,0,0,0,1,0,158,7,50,93,3,1,0,154,0,80,75,0,155,0,83,72,0,155,0,72,84,0,156,95,63,1,159,74,85,0,159,270010080
UNORG 45-24 (JEWETT UNORG),0082,Jewett Unorganized,Aitkin,1,8,10,10B,03,09,3001,,,,Central Count,Model 100,,16,7,21,0,0,0,21,13,8,0,0,0,0,0,0,0,0,0,21,0,7,12,1,0,0,20,0,12,7,1,20,0,13,7,0,20,0,13,7,0,20,14,7,0,21,10,11,0,21,270010082
KIMBERLY TWP,0085,Kimberly Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,,122,7,100,11,0,0,111,60,46,2,0,0,0,0,1,0,0,0,109,3,35,71,0,0,0,109,0,57,51,0,108,0,65,41,0,106,0,63,43,0,106,80,31,0,111,53,57,1,111,270010085
LAKESIDE TWP,0090,Lakeside Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Precinct Tabulator,Model 100,,346,23,262,43,0,0,305,154,145,1,0,0,0,1,0,0,0,2,303,5,96,193,1,0,0,295,0,142,158,1,301,0,143,152,3,298,0,144,151,1,296,198,102,5,305,175,128,2,305,270010090
LEE TWP,0095,Lee Twp,Aitkin,1,8,10,10B,03,09,3001,,,,Central Count,Model 100,,36,1,31,0,0,0,31,18,10,1,0,0,0,0,0,0,0,0,29,2,10,17,1,0,0,30,0,17,12,0,29,0,17,12,0,29,0,16,14,0,30,25,6,0,31,18,13,0,31,270010095
LIBBY TWP E,0100,Libby Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Central Count,Model 100,YES,21,2,20,0,0,0,20,14,6,0,0,0,0,0,0,0,0,0,20,1,5,12,0,0,0,18,0,12,8,0,20,0,13,7,0,20,0,12,8,0,20,13,6,1,20,10,10,0,20,270010100
LIBBY TWP W,0105,Libby Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Central Count,Model 100,YES,16,0,16,0,0,0,16,5,10,0,0,0,0,0,0,0,0,1,16,2,3,11,0,0,0,16,0,4,12,0,16,0,6,10,0,16,0,5,11,0,16,10,6,0,16,7,9,0,16,270010105
LOGAN TWP,0110,Logan Twp,Aitkin,1,8,10,10B,05,09,3001,,,,Precinct Tabulator,Model 100,,110,13,93,12,0,0,105,44,56,3,0,0,0,0,0,0,1,0,104,4,35,59,2,0,0,100,0,37,64,1,102,0,45,55,0,100,0,38,62,0,100,70,35,0,105,45,59,1,105,270010110
