"","district","gov","pres","ave","rpvi","hpvi","name","party","chamber"
"1","01A",0.468392882974107,0.4416964963662,0.455044689670153,-4.49553103298465,"R+4","Dan Fabian","R","House"
"2","01B",0.493807793923382,0.470304888061744,0.482056340992563,-1.79436590074372,"R+2","Debra Kiel","R","House"
"3","02A",0.492816500711238,0.489754820520566,0.491285660615902,-0.871433938409827,"R+1","David Hancock","R","House"
"4","02B",0.435455734845181,0.429310434017899,0.43238308443154,-6.76169155684602,"R+7","Steve Green","R","House"
"5","03A",0.606530096975957,0.566326757803803,0.58642842738988,8.64284273898799,"D+9","David Dill","DFL","House"
"6","03B",0.615514443362545,0.612283148810043,0.613898796086294,11.3898796086294,"D+11","Mary Murphy","DFL","House"
"7","04A",0.58700073964497,0.56665785997358,0.576829299809275,7.68292998092752,"D+8","Ben Lien","DFL","House"
"8","04B",0.513497026078999,0.475734650815707,0.494615838447353,-0.538416155264682,"R+1","Paul Marquart","DFL","House"
"9","05A",0.531040577362103,0.531784657066881,0.531412617214492,3.1412617214492,"D+3","John Persell","DFL","House"
"10","05B",0.537891525001557,0.504580623724308,0.521236074362933,2.12360743629325,"D+2","Tom Anzelc","DFL","House"
"11","06A",0.670523594053006,0.64642250788261,0.658473050967808,15.8473050967808,"D+16","Carly Melin","DFL","House"
"12","06B",0.639653444922497,0.632623169107856,0.636138307015176,13.6138307015176,"D+14","Jason Metsa","DFL","House"
"13","07A",0.698289269051322,0.689275854746231,0.693782561898776,19.3782561898776,"D+19","Jennifer Schultz","DFL","House"
"14","07B",0.710034547738693,0.716962049701406,0.71349829872005,21.349829872005,"D+21","Erik Simonson","DFL","House"
"15","08A",0.4103894307256,0.399619012219486,0.405004221472543,-9.49957785274569,"R+9","Bud Nornes","R","House"
"16","08B",0.413295371780441,0.409667923834054,0.411481647807247,-8.85183521927526,"R+9","Mary Franson","R","House"
"17","09A",0.39853878661987,0.383920738944218,0.391229762782044,-10.8770237217956,"R+11","Mark Anderson","R","House"
"18","09B",0.414134225322041,0.38361188243307,0.398873053877555,-10.1126946122445,"R+10","Ron Kresha","R","House"
"19","10A",0.44076792032499,0.434849283557771,0.43780860194138,-6.21913980586196,"R+6","Josh Heintzeman","R","House"
"20","10B",0.479478827361563,0.453781512605042,0.466630169983303,-3.33698300166972,"R+3","Dale Lueck","R","House"
"21","11A",0.63237026259267,0.634759198324858,0.633564730458764,13.3564730458764,"D+13","Mike Sundin","DFL","House"
"22","11B",0.491707686482393,0.478514242143674,0.485110964313034,-1.48890356869664,"R+1","Jason Rarick","R","House"
"23","12A",0.501669291338583,0.472415240404794,0.487042265871688,-1.29577341283116,"R+1","Jeff Backer","R","House"
"24","12B",0.389593635777252,0.369450527573163,0.379522081675208,-12.0477918324792,"R+12","Paul Anderson","R","House"
"25","13A",0.429877599174163,0.419354838709677,0.42461621894192,-7.53837810580797,"R+8","Jeff Howe","R","House"
"26","13B",0.421477624330239,0.414840040289702,0.418158832309971,-8.18411676900294,"R+8","Tim O'Driscoll","R","House"
"27","14A",0.488291686311488,0.486976791324617,0.487634238818053,-1.23657611819472,"R+1","Tama Theis","R","House"
"28","14B",0.53572112622103,0.55015164644714,0.542936386334085,4.29363863340855,"D+4","Jim Knoblach","R","House"
"29","15A",0.434661131954977,0.431389718759658,0.433025425357318,-6.69745746426824,"R+7","Sondra Erickson","R","House"
"30","15B",0.360484514397621,0.356871239470517,0.358677876934069,-14.1322123065931,"R+14","Jim Newberger","R","House"
"31","16A",0.47154102331214,0.465265976620835,0.468403499966488,-3.15965000335121,"R+3","Chris Swedzinski","R","House"
"32","16B",0.419528466378591,0.410192727995231,0.414860597186911,-8.51394028130885,"R+9","Paul Torkelson","R","House"
"33","17A",0.496334716459198,0.481167704399306,0.488751210429252,-1.12487895707482,"R+1","Tim Miller","R","House"
"34","17B",0.490597004718594,0.479207411219763,0.484902207969179,-1.50977920308214,"R+2","Dave Baker","R","House"
"35","18A",0.417076824309865,0.407663597909928,0.412370211109897,-8.76297888901035,"R+9","Dean Urdahl","R","House"
