"","district","gov","pres","ave","rpvi","hpvi","name","party","chamber"
"1","01",0.480260621481996,0.455934835317514,0.468097728399755,-3.19022716002451,"R+3","LeRoy A Stumpf","DFL","Senate"
"2","02",0.464447480048889,0.459942848395163,0.462195164222026,-3.78048357779741,"R+4","Rod Skoe","DFL","Senate"
"3","03",0.610745614035088,0.589550430626225,0.600148022330657,10.0148022330657,"D+10","Thomas M Bakk","DFL","Senate"
"4","04",0.546719598829921,0.520596516842215,0.533658057836068,3.36580578360679,"D+3","Kent Eken","DFL","Senate"
"5","05",0.534752682367231,0.517805746621786,0.526279214494509,2.62792144945089,"D+3","Tom Saxhaug","DFL","Senate"
"6","06",0.654376175355304,0.639216595202225,0.646796385278765,14.6796385278765,"D+15","David J Tomassoni","DFL","Senate"
"7","07",0.703723887375113,0.702250107201697,0.702986997288405,20.2986997288405,"D+20","Roger J Reinert","DFL","Senate"
"8","08",0.411874154262517,0.404668900959205,0.408271527610861,-9.17284723891391,"R+9","Bill Ingebrigtsen","R","Senate"
"9","09",0.406361559331715,0.383767482971975,0.395064521151845,-10.4935478848155,"R+10","Paul E Gazelka","R","Senate"
"10","10",0.461100569259962,0.444619666048237,0.4528601176541,-4.71398823459002,"R+5","Carrie Ruud","R","Senate"
"11","11",0.565163904768797,0.56008745672714,0.562625680747968,6.26256807479684,"D+6","Tony Lourey","DFL","Senate"
"12","12",0.449242322649859,0.422607439508848,0.435924881079354,-6.40751189206464,"R+6","Torrey N. Westrom","R","Senate"
"13","13",0.425726326781785,0.41713287538654,0.421429601084163,-7.85703989158374,"R+8","Michelle L Fischbach","R","Senate"
"14","14",0.509668508287293,0.517514005968899,0.513591257128096,1.35912571280958,"D+1","John C Pederson","R","Senate"
"15","15",0.395796914190165,0.392868695414168,0.394332804802166,-10.5667195197834,"R+11","David M Brown","R","Senate"
"16","16",0.445555429307276,0.437232939748679,0.441394184527977,-5.86058154720227,"R+6","Gary H Dahms","R","Senate"
"17","17",0.493449781659389,0.480191676916769,0.486820729288079,-1.31792707119211,"R+1","Lyle Koenen","DFL","Senate"
"18","18",0.406007211627821,0.393616482737673,0.399811847182747,-10.0188152817253,"R+10","Scott J Newman","R","Senate"
"19","19",0.564313058273075,0.562486520165832,0.563399789219454,6.33997892194536,"D+6","Kathy Sheran","DFL","Senate"
"20","20",0.489892457223105,0.483044868779983,0.486468663001544,-1.35313369984559,"R+1","Kevin L Dahle","DFL","Senate"
